노선명,size,min,max,mean
1,199,0.0,5.033355193364782,1.9182593270199448
100,1908,0.0,21.634101788685097,6.121371013818827
101,1360,0.0,15.304992014132079,5.647126451146203
1014,409,0.0,6.3974338748301385,2.3972229728627807
1017,703,0.0,9.474140114955873,2.708472511904671
102,1040,0.0,13.98591340628812,4.83496631268343
1020,501,0.0,6.717884593761952,3.025237047161917
103,1072,0.0,14.113092559602938,4.4284348094585
104,1004,0.0,13.24285479614062,4.908446061387063
105,1567,0.0,17.786968358121783,6.243564807720094
106,657,0.0,16.96875227510827,5.512300380254424
107,708,0.0,16.48710848033974,5.348702222670355
109,701,0.0,12.162723385869697,4.491435240506526
110A고려대,1576,0.0,15.208277095075779,5.278775949516434
110B국민대,1647,0.0,14.708653235770345,5.207453919944833
111,879,0.0,16.14642703703623,4.916583831372185
1111,1066,0.0,9.211897187520286,3.290196454817131
1113,263,0.0,5.515024239874265,2.148110881736929
1114,144,0.0,3.363837777146995,1.5468839618023746
1115,186,0.0,3.9812546965746383,1.401660251204124
1116,184,0.0,4.804850681227983,1.8491427426901692
1119,712,0.0,6.179277326805364,2.2772774138357064
1120,773,0.0,7.860504017968268,2.6452059267070345
1122,632,0.0,4.386832804851749,1.9027079625620753
1124,229,0.0,3.3700799828366965,1.5974793629970292
1126,664,0.0,4.483587227442377,1.9242061046854835
1127,508,0.0,6.726275593835313,2.4336324818413635
1128,1062,0.0,12.39105007096057,3.26026054987269
1129,100,0.0,2.7436579041065907,1.4700592546836628
1130,170,0.0,3.2481184362119957,1.4173616029230665
1131,454,0.0,5.171303462422841,2.180646627383156
1132,803,0.0,5.592002498924699,2.5029184378054183
1133,324,0.0,6.025021934473903,2.0665481511093424
1135,509,0.0,5.546171600136282,2.07811421946186
1136,185,0.0,2.8819410193275323,1.3006626103695635
1137,1098,0.0,8.548962196749182,3.004053557889084
1138,354,0.0,8.5390790361708,2.9297776305930823
1139,858,0.0,6.8577074015225445,2.6440211772553504
1140,342,0.0,5.53096674146985,2.083607069085912
1141,397,0.0,5.171303462422841,2.2576149759017046
1142,255,0.0,4.544229275594643,1.8205937687801508
1143,531,0.0,10.044170600379083,2.6485396035910735
1144,433,0.0,8.30162126045612,2.778919337536853
1154,300,0.0,7.050799681134238,2.4063906693729407
1155,160,0.0,7.049481921824495,2.6733646639557236
1156,136,0.0,7.049481921824495,2.8515371503544573
1162,253,0.0,6.951347139148637,1.5735700923716451
1164,280,0.0,3.5892415857114637,1.588937149404626
1165,685,0.0,4.795746900442539,1.7511125394445026
1167,594,0.0,9.4441698578727,3.2294277649642726
120,1655,0.0,12.153058636858372,3.968070318871575
121,1251,0.0,12.791835661079388,3.6413726073640755
1213,927,0.0,13.864291826002814,4.20922376581391
1218,1234,0.0,12.22398859898725,4.599838260158978
1221,350,0.0,5.5803970166467485,2.431119484724923
1222,592,0.0,7.4861629100219576,2.629716323794903
1224,1555,0.0,13.474547835982255,4.081794080179318
1226,42,0.0,3.014804312734762,1.5590206870484025
1227,738,0.0,9.3553594700918,3.3107329555229144
130,1776,0.0,23.332848217909522,8.197610632488907
140,1591,0.0,29.407704481331997,9.230655158647112
141,2078,0.0,29.17848209477252,8.37433890057532
142,2069,0.0,27.929803103644097,7.27401285135056
143,1999,0.0,18.26120933635953,5.501598572456596
144,1844,0.0,22.570373682337568,6.374086380402975
145,1753,0.0,18.352435349705846,5.534535790323216
146,2899,0.0,24.151072523251386,7.025224494384151
147,2080,0.0,19.995776978831973,5.306721704548347
148,1455,0.0,21.46556749928483,6.435597243213016
150,2513,0.0,37.09972532432008,9.10695364306261
151,1419,0.0,21.73329784773761,5.833723161802618
152,2586,0.0,26.128478723110266,6.862454869698583
160,2625,0.0,39.43736165407069,10.943292891078446
162,981,0.0,16.97605878106894,5.384765670231512
163,2228,0.0,22.926692626313496,6.835696744175474
17,275,0.0,2.6622660747959057,1.2382318671863235
171,1201,0.0,19.343320069208126,5.601573014829093
1711,857,0.0,10.946644734029158,3.8843596203220594
172,1507,0.0,25.229946356087908,6.608782716818085
173,1500,0.0,18.700774248550115,4.5255758022381976
201,722,0.0,19.66660621185019,5.037431722921338
2012,1523,0.0,13.854482727986678,4.267815013447113
2013,785,0.0,11.105045131620127,3.632033722781958
2014,736,0.0,10.069646867051926,3.5349279189219005
2015,1325,0.0,13.410116521176096,4.000001397230871
2016,2086,0.0,21.134916892529056,4.562608587456213
202,1627,0.0,20.749964667509424,5.711159564008382
2112,1125,0.0,12.972477469703621,3.3881224141120616
2113,663,0.0,5.551545325901501,2.0465987545824547
2114,682,0.0,6.337527357729148,1.950430974699964
